GEOID,tract_name,county_name,year,total_population,urban_class
24001000100,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County,2014,3623,Rural
24001000100,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County,2015,3442,Rural
24001000100,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County,2016,3590,Rural
24001000100,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County,2017,3520,Rural
24001000100,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County,2018,3665,Rural
24001000100,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County,2019,3581,Rural
24001000100,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County,2020,3667,Rural
24001000100,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County,2021,3462,Rural
24001000100,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County,2022,3474,Rural
24001000100,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County,2023,3153,Rural
24001000200,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County,2014,4188.67845913479,Mixed
24001000200,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County,2015,4249.16837059483,Mixed
24001000200,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County,2016,4034.97458575271,Mixed
24001000200,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County,2017,4041.91605100222,Mixed
24001000200,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County,2018,3883.25398815621,Mixed
24001000200,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County,2019,3943.74389961625,Mixed
24001000200,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County,2020,3836,Mixed
24001000200,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County,2021,4245,Mixed
24001000200,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County,2022,4052,Mixed
24001000200,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County,2023,4094,Mixed
24001000500,The neighborhood of Rolling Mills,Allegany County,2014,2498.30709061054,Mixed
